anomaly_id,period,entity,anomaly_type,severity,metric_or_account,current_value,comparison_value,variance_amount,variance_percent,explanation,recommended_follow_up
ANOM-00001,2024-05,AQL,Cash decrease,High,Closing cash balance,2935286.95,3813767.19,-878480.2399999998,-0.23034448518605033,Closing cash balance decreased materially month-on-month.,"Review cash inflows, supplier payments, capex, and working capital timing."
ANOM-00002,2024-06,AQL,Cash decrease,High,Closing cash balance,1859002.13,2935286.95,-1076284.8200000003,-0.36667107452646164,Closing cash balance decreased materially month-on-month.,"Review cash inflows, supplier payments, capex, and working capital timing."
ANOM-00003,2024-08,AQL,Cash decrease,High,Closing cash balance,973513.48,1854214.66,-880701.1799999999,-0.47497261185498335,Closing cash balance decreased materially month-on-month.,"Review cash inflows, supplier payments, capex, and working capital timing."
ANOM-00004,2024-11,AQL,Cash decrease,High,Closing cash balance,-768177.86,1179128.5,-1947306.3599999999,-1.6514793425822545,Closing cash balance decreased materially month-on-month.,"Review cash inflows, supplier payments, capex, and working capital timing."
ANOM-00005,2025-09,AQL,Opex increase,Medium,Opex,7052977.890000001,2297202.03,4755775.860000001,2.0702471083921172,Operating expenses increased by more than the month-on-month threshold.,Review vendor spend and one-off operating costs.
ANOM-00006,2024-05,AQL,Revenue drop,Medium,Revenue,8402577.219999999,9910299.99,-1507722.7700000014,-0.15213694555375426,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00007,2024-07,AQL,Revenue drop,Medium,Revenue,6293467.35,7691592.37,-1398125.0200000005,-0.18177315603114838,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00008,2024-12,AQL,Revenue drop,Medium,Revenue,7726019.08,9192629.5,-1466610.42,-0.15954199176633846,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00009,2025-02,AQL,Revenue drop,Medium,Revenue,7583217.86,9125517.78,-1542299.919999999,-0.16900957920220053,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00010,2025-04,AQL,Revenue drop,Medium,Revenue,8870309.719999999,10828250.43,-1957940.710000001,-0.18081782672623328,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
ANOM-00011,2025-06,AQL,Revenue drop,Medium,Revenue,7491059.22,9608291.65,-2117232.4300000006,-0.22035472143479332,Revenue declined by more than the month-on-month threshold.,"Review customer, volume, pricing, and invoice timing movements."
